paper_id,epoch,input_variant,perspective,model,task,discipline,experimental,dependent_variable,main_predictor,sample_definition,model_specification,controls,operationalization_notes,type_of_statistic,test_statistic,dof_1,dof_2,sample_size,p_value,llm_cohens_d,original_cohens_d,d_difference,within_strict,within_broad,conclusion,reasoning,submission_valid,score_value,log_file
Adida_CompPolitStu_2016_G0Kb,1,full,neutral,anthropic/claude-opus-4-7,reanalysis,political science,True,"BoniVote (would vote for Yayi if election held tomorrow, 0/1)",FemmeFon (Fon-Wife prime indicator),"Cotonou respondents assigned to one of the three wife-experiment arms (Control, Wife cue, or Fon-Wife cue) whose self-reported ethnicity is Fon or Mahi (Chantal's coethnics); 158 respondents with non-missing vote outcome.","OLS linear probability model of BoniVote on FemmeFon and Femme (Wife cue control), with heteroskedasticity-robust (HC1) standard errors.",Generic Wife cue indicator (Femme); no enumerator fixed effects (Table 1 column 1 specification).,"Follows the paper's Equation 1 and Table 1 column 1: linear regression of vote intention on Wife and Fon-Wife cues (Control omitted) with robust SEs, restricted to Chantal coethnics (Fon/Mahi).",t,2.535,155.0,,158,0.0112,0.407,0.4418,-0.03480000000000005,True,True,same conclusion,"Among Chantal's coethnics (Fon and Mahi respondents) in Cotonou who received either Control, Wife, or Fon-Wife cue, the Fon-Wife prime raised the probability of voting for Yayi by 0.218 (HC1 SE = 0.086), t(155) = 2.54, p = .011, while controlling for the generic Wife cue. This positive and significant effect replicates the paper's Table 1 column (1) finding (0.22**) that priming the first lady's Fon ethnicity increases support for President Yayi among her coethnics.",yes,C,results/agentic_logs/multi100/rq1_claude47/2026-06-16T13-49-12-00-00_reanalysis_jgdbyHjz9Bv7NTccRzPz47.eval
Altmann_JournLabEco_2012_WLkV,1,full,neutral,anthropic/claude-opus-4-7,reanalysis,economics,True,effort_t1 (first-stage effort choice),Treatment (TS vs OS),"Subjects in the two main treatments: OS (treat=1, n=60) and TS (treat=2, n=64)",Two-sided Mann-Whitney U test on individual first-stage effort,none,Replicates the paper's primary nonparametric test for Result 2 (comparison of first-stage efforts across the two main one-shot treatments).,z,2.5365,,,124,0.0113,0.465,0.4653,-0.00029999999999996696,True,True,same conclusion,"Mann-Whitney U test comparing first-stage effort between TS (n=64, mean=84.81) and OS (n=60, mean=71.65) yields |z|=2.54, p=0.011, confirming that first-stage efforts in TS are significantly higher than in OS.",yes,C,results/agentic_logs/multi100/rq1_claude47/2026-06-16T13-49-12-00-00_reanalysis_jgdbyHjz9Bv7NTccRzPz47.eval
Alves_PsychologSci_2018_AvOr,1,full,neutral,anthropic/claude-opus-4-7,reanalysis,psychology,True,"preference_first (1 = first group, 0 = second/novel group)",condition (1 = positive shared/negative unique; 0 = negative shared/positive unique),All Experiment 1 participants (N=210),Pearson chi-square test of independence on 2x2 contingency table,none,"The claim that participants preferred the first group when unique attributes were negative is most directly tested by comparing the proportion preferring the first group across the two valence conditions in Experiment 1, which directly manipulated the valence of unique vs. shared attributes.",chi2,12.0229,1.0,,210,0.000526,0.487,0.4867,0.00029999999999996696,True,True,same conclusion,"In Experiment 1, preference for the first group depended on condition: when unique attributes were negative (positive shared/negative unique), 68/104 preferred the first group, vs. 44/106 when unique attributes were positive. The chi-square test of association is χ²(1, N=210)=12.02, p<.001, supporting the claim.",yes,C,results/agentic_logs/multi100/rq1_claude47/2026-06-16T13-49-12-00-00_reanalysis_jgdbyHjz9Bv7NTccRzPz47.eval
Anderson_AmEcoJourn_2011_bLe8,1,full,neutral,anthropic/claude-opus-4-7,reanalysis,economics,False,Total household income (totinc),"Village caste dominance (domhigh: 1=upper-caste dominated, 0=BAC/low-caste dominated)","Low-caste (BAC, OBC, SC) households as provided in table2.dta (1,297 with non-missing totinc)","Independent two-sample t-test (equal variances), replicating the paper's Table 2 'ttest totinc, by(domhigh)'",none,"The paper's Table 2 reports this exact comparison; program.txt confirms the test is 'ttest totinc, by(domhigh)' on table2.dta, which restricts to low-caste households.",t,4.9685,1295.0,,1297,7.65e-07,0.276,0.5746,-0.2986,False,False,same conclusion,"Two-sample t-test of total household income by village caste dominance among low-caste households (table2.dta) shows mean totinc = 7524 in BAC-dominated villages (domhigh=0, n=705) vs 3999 in upper-caste-dominated villages (domhigh=1, n=592); t(1295)=4.97, p<1e-6, confirming substantially higher income for low-caste households in BAC-dominated villages.",yes,I,results/agentic_logs/multi100/rq1_claude47/2026-06-16T13-49-12-00-00_reanalysis_jgdbyHjz9Bv7NTccRzPz47.eval
Andreoni_JournPoliEco_2017_La9x,1,full,neutral,anthropic/claude-opus-4-7,reanalysis,economics,True,Number of givers per 23-minute session (g1g22009),"Ask1 indicator (verbal-ask, one-door condition) vs Opp1 baseline (silent bell, one door)",All 64 sessions from the 2009 Salvation Army field experiment (16 sessions per treatment cell),"OLS with treatment dummies (Opp1&2, Ask1, Ask1&2; Opp1 omitted) and day + starttime fixed effects; HC1 robust SE",Day-of-week fixed effects and time-of-day (starttime) fixed effects,"Replicates Table 2, column 1 of the paper. The verbal-ask effect on giving is tested via the Ask1 coefficient (the cleanest one-door comparison isolating the verbal-ask manipulation).",t,3.53,42.0,,64,0.000416,1.089,1.8477,-0.7586999999999999,False,False,same conclusion,"OLS replication of Table 2 col. 1: number of givers per 23-min session regressed on treatment dummies (Opp1 omitted) with day and time-of-day fixed effects. The Ask1 coefficient is 4.06 givers (≈55% over the Opp1 mean of 7.44), with robust SE 1.15, t=3.53, p<0.001, indicating that adding a verbal request significantly increased giving relative to silent bell-ringing at one door. Ask1&2 vs Opp1 is even larger (b=11.56).",yes,I,results/agentic_logs/multi100/rq1_claude47/2026-06-16T13-49-12-00-00_reanalysis_jgdbyHjz9Bv7NTccRzPz47.eval
Angrist_AmEcoRev_2009_Gv3O,1,full,neutral,anthropic/claude-opus-4-7,reanalysis,economics,True,Bagrut (matriculation certificate) attainment in 2001 (zakaibag),Treated school indicator (treated),Female senior-year students (boy==0) in the 2001 cohort with non-missing outcome and covariates,OLS linear probability model with cluster-robust SEs at the school level,"Arab school, religious school, parental education (educav), immigrant (ole5), siblings (m_ahim), and lagged-score quartile dummies","Replicates the basic 2001 girls' specification underlying Table 2 / Table 4 of Angrist-Lavy 2009, which is the analysis most directly tied to the claim of increased certification rates for girls under the school-based randomization.",t,2.27,,33.0,1861,0.023,,0.0799,,False,False,same conclusion,"OLS regression of Bagrut certification (zakaibag) on treatment indicator with school covariates (Arab, religious), parental education, immigrant status, and lagged-score quartile dummies, with standard errors clustered at the school level, yields a treatment effect of +0.100 (SE=0.044, t=2.27, p=0.023) for girls in 2001. The positive and statistically significant effect of roughly 10 percentage points on a base of ~29% replicates the paper's finding of a substantial increase in certification rates for girls.",yes,I,results/agentic_logs/multi100/rq1_claude47/2026-06-16T13-49-12-00-00_reanalysis_jgdbyHjz9Bv7NTccRzPz47.eval
Antràs_Econometrica_2013_a2Yx,1,full,neutral,anthropic/claude-opus-4-7,reanalysis,economics,False,Industry-year U.S. intrafirm import share = sum(imp_rel)/sum(imp_rel+imp_non) over countries within IO2002 industry-year,DownMeasure × 1(w1sigma >= sample median); reference: DownMeasure × 1(w1sigma < median),"All IO2002 industry-year observations 2000-2011 with non-missing downmeasure, w1sigma, factor intensities, R&D intensity, and dispersion (N=3036)",OLS with year fixed effects; standard errors clustered at IO2002 industry level,"log skill/labor, log equipment-K/L, log plant-K/L, log materials/L, log R&D intensity, industry dispersion, high-elasticity main effect, year FE",Mirrors Table 4 column (3): split-slope specification with DownMeasure interacted with above-/below-median buyer-weighted import demand elasticity (w1sigma). Industry-year panel constructed by aggregating country-industry-year related-party trade to industry-year level.,t,3.09,3015.0,,3036,0.002,0.113,0.32,-0.20700000000000002,False,False,same conclusion,"Regressing the industry-year U.S. intrafirm import share on DownMeasure interacted with a high-elasticity dummy (1[w1sigma >= median]), with buyer-industry controls (skill, equipment- and plant-capital, materials, R&D intensity, dispersion), year FEs, and SEs clustered by IO industry, the interaction DownMeasure × 1(Elas>=median) is positive (b=0.262) and statistically significant (t=3.09, p=0.002), while DownMeasure × 1(Elas<median) is small and insignificant (b=-0.083, t=-1.39). This replicates the paper's finding that the positive relationship between downstreamness and the intrafirm import share emerges only for industries facing high buyer demand elasticity.",yes,I,results/agentic_logs/multi100/rq1_claude47/2026-06-16T13-49-12-00-00_reanalysis_jgdbyHjz9Bv7NTccRzPz47.eval
Baccara_AmEcoJourn_2014_RqVE,1,full,neutral,anthropic/claude-opus-4-7,reanalysis,economics,False,bid_on_d (PAP applies to BMO),nonaa_girl indicator (non-African American girl),"All PAP-day x BMO observations in ChoicePanel2 with non-missing covariates (N=1,510,257; 46,329 PAP-BMO pairs)",Probit with PAP-BMO cluster-robust standard errors,"already_born, months to birth, finalization cost ($10k), other race-gender indicators (black girl/boy/unknown, non-AA boy, Hispanic), PAP-type dummies (single, gay couple, lesbian couple), year fixed effects","Replicates the 'All PAPs' specification of Table 5 in the paper (column 1). The 10-day activity-window filter used in the paper could not be reconstructed from the available variables, so the full daily panel was used; the sign and significance of the non-AA girl coefficient are the directly relevant test of the claim.",z,4.357,,,1510257,1.3e-05,0.007,0.0091,-0.0021000000000000003,True,True,same conclusion,"Clustered probit (by PAP–BMO pair) on the application decision yields a positive and highly significant coefficient on the 'non-African American girl' indicator (β=0.190, z=4.36, p<0.001) relative to the omitted gender-unknown non-AA child, replicating the paper's finding that adoptive parents have a positive preference for non-African American girls.",yes,C,results/agentic_logs/multi100/rq1_claude47/2026-06-16T13-49-12-00-00_reanalysis_jgdbyHjz9Bv7NTccRzPz47.eval
Baillon_Econometrica_2018_QYNq,1,full,neutral,anthropic/claude-opus-4-7,reanalysis,economics,True,a-insensitivity index a = 3*(1/3 - (mean composite MP - mean single MP)),Part1*TP dummy (time pressure interaction with Part 1),"99 subjects with no missing matching probability in Part 1 (5 TP subjects with timeouts excluded); each subject contributes two observations (Part 1 and Part 2), N=198","OLS with three dummies (Part1*TP, Part2*control, Part2*TP); reference = Part1*control; cluster-robust SE at subject level",none (Model 1),Followed paper's Model 1 specification for the a-index regression to test whether TP increases insensitivity.,z,2.122,,,198,0.034,0.305,0.4288,-0.12380000000000002,False,True,same conclusion,"OLS with cluster-robust SE (clustered by subject) on the a-insensitivity index, using Part1*control as the reference, gives a coefficient of 0.190 (SE 0.089, z=2.12, p=0.034) for Part1*TP, indicating significantly higher a-insensitivity under time pressure (a=0.34 vs 0.15 in control Part 1).",yes,C,results/agentic_logs/multi100/rq1_claude47/2026-06-16T13-49-12-00-00_reanalysis_jgdbyHjz9Bv7NTccRzPz47.eval
Balcells_JournConflictRes_2014_0P4r,1,full,neutral,anthropic/claude-opus-4-7,reanalysis,political science,False,Conflict duration in months (right-censored where end-date missing),Technology of rebellion (Irregular vs. Conventional base; SNC also included),"All 131 civil-war conflicts in the TR dataset with non-missing start month/year (Conventional, Irregular, SNC); 16 dropped for missing start info or duration set to censored end-of-observation",Weibull accelerated-failure-time model (lifelines WeibullAFTFitter); test of the Irregular coefficient (z = coef/SE),None (replicating the minimal M1 specification in Table 2),Paper's Table 2 model M1 (TR) is a duration model with technology-of-rebellion dummies (Conventional as base); paper notes time ratios indicate irregular wars last ~2.5× longer than conventional. Computed duration as (yrend-yrst)*12+(moend-most); cases with missing end coded as right-censored at 2008-12. Reported the z-statistic on the Irregular dummy as the most direct test of the claim.,z,5.32,,,131,1.03e-07,0.975,0.1673,0.8077,False,False,same conclusion,"In a Weibull AFT survival model on the TR dataset with Conventional as the base category, the Irregular indicator has coef = 1.32 (SE = 0.249), z = 5.32, p < 0.001, implying irregular wars last roughly exp(1.32) ≈ 3.8 times as long as conventional ones; SNC coefficient is also positive (1.02, z = 2.70). This reproduces the paper's finding that irregular conflicts last significantly longer than the other types.",yes,I,results/agentic_logs/multi100/rq1_claude47/2026-06-16T13-49-12-00-00_reanalysis_jgdbyHjz9Bv7NTccRzPz47.eval
